学校名,組,出席番号,国1,国2,国3,国4,国5,国6,国7,国8,国9,国10,国11,国12,国13,国14,国15,国16,国17,国18,国19,国20,国21,国22,国23,国24,国25,国26,国27,国32,国33,国34,国35,国36,国37,国38,国39,国40,国41,国42,国43,国44,国45,国46,国47,国48,国49,国50,国51,国52,国53,国54,国55,国態1,国態2,国態3,国態4,国態5,国態6,国態7,国態8,国態9,国態10,国態11,国態12,,社1,社2,社3,社4,社5,社6,社7,社8,社9,社10,社11,社12,社13,社14,社15,社16,社17,社18,社19,社20,社21,社22,社23,社24,社25,社26,社27,社28,社29,社30,社31,社32,社33,社34,社35,社36,社37,社38,社42,社43,社44,社45,社46,社47,社態1,社態2,社態3,社態4,社態5,社態6,社態7,社態8,社態9,社態10,社態11,社態12,,数1,数2,数3,数4,数5,数6,数7,数8,数9,数10,数11,数12,数13,数14,数15,数16,数17,数18,数19,数20,数21,数22,数23,数24,数25,数26,数27,数28,数29,数30,数31,数40,数42,数43,数44,数45,数態1,数態2,数態3,数態4,数態5,数態6,数態7,数態8,数態9,数態10,数態11,数態12,,B理1,B理2,B理3,B理4,B理5,B理6,B理7,B理8,B理9,B理10,B理11,B理12,B理13,B理14,B理15,B理16,B理17,B理18,B理19,B理20,B理21,B理22,B理23,B理24,B理25,B理26,B理27,B理28,B理29,B理30,B理31,B理32,B理33,B理34,B理35,B理36,B理37,B理38,B理45,B理46,B理47,B理48,B理49,B理50,B理51,B理態1,B理態2,B理態3,B理態4,B理態5,B理態6,B理態7,B理態8,B理態9,B理態10,B理態11,B理態12,,英1,英2,英3,英4,英5,英6,英7,英8,英9,英10,英11,英12,英13,英14,英15,英16,英17,英18,英19,英20,英21,英22,英23,英24,英25,英26,英27,英28,英29,英30,英31,英32,英33,英34,英35,英36,英37,英38,英39,英40,英41,英42,英43,英44,英45,英46,英47,英48,英49,英50,英51,英52,英53,英54,英55,英56,英57,英58,英59,英態1,英態2,英態3,英態4,英態5,英態6,英態7,英態8,英態9,英態10,英態11,英態12
A,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,4,3,4,3,4,4,4,4,4,4,4,4,,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,4,3,4,4,4,3,3,4,3,3,4,4,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,3,3,4,3,3,3,3,4,3,4,4,4,,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,4,3,4,4,3,3,3,4,4,4,4,4,,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,3,4,3,3,3,3,4,3,3,4,4
A,1,2,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,3,3,3,3,3,2,3,3,3,3,3,3,,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,3,2,3,3,3,2,3,3,3,3,2,3,,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,3,3,3,3,3,2,3,3,3,3,3,3,,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,2,3,3,3,3
A,1,3,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,4,2,3,2,4,3,3,4,3,3,4,4,,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,4,4,4,3,4,4,3,4,4,4,4,3,,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,3,1,4,3,2,4,3,2,4,4,,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,3,3,3,3,3,4,3,4,4,3,4,3,,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,3,4,4,2,4,4,3,4,4,3,4,4
A,1,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,3,4,4,4,4,4,3,4,4,,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,4,4,4,4,4,4,4,4,4,4,4,4,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,4,3,4,4,3,4,4,4,4,4,,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,4,4,3,4,4,3,4,4,4,4,4
A,1,5,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,3,2,3,3,4,3,2,4,4,3,3,3,,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,4,3,3,3,4,3,3,4,3,2,3,3,,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,3,3,3,3,3,3,2,4,3,3,3,3,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,3,2,3,3,3,2,2,4,4,3,3,4,,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,4,3,3,4,3,3,3,4,3,3,4,4
A,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,4,4,4,4,4,4,4,4,3,4,4,4,,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
A,1,7,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,4,3,3,4,4,2,3,4,,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,4,3,3,4,4,3,3,4,4,3,3,4,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,3,3,3,3,4,3,4,3,3,3,4,,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,4,3,4,3,4,3,3,4,4,4,4,4,,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,3,3,2,4,3,3,4,2,3,3,3
A,1,8,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,3,4,4,3,2,2,4,3,4,4,3,,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,3,3,4,4,3,2,3,4,3,3,4,3,,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,3,3,4,4,4,3,3,4,4,4,4,3,,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,4,3,4,4,4,3,2,4,3,4,4,3
A,1,9,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,4,3,4,3,4,3,3,4,4,4,4,4,,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,2,3,3,3,2,3,3,3,4,3,2,2,,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,4,3,4,3,3,4,4,3,4,4,3,4,,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4
A,1,10,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,2,4,4,3,3,2,3,4,4,3,3,,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3
