"school","class_id","student_no","kokugo_score","kokugo_n","kokugo_rate","shakai_score","shakai_n","shakai_rate","sugaku_score","sugaku_n","sugaku_rate","rika_score","rika_n","rika_rate","eigo_score","eigo_n","eigo_rate","kokugo_gmm","kokugo_cut","shakai_gmm","shakai_cut","sugaku_gmm","sugaku_cut","rika_gmm","rika_cut","eigo_gmm","eigo_cut"
"A",1,1,20,51,0.392156862745098,14,44,0.318181818181818,11,36,0.305555555555556,11,45,0.244444444444444,20,59,0.338983050847458,2,1,2,1,2,1,1,1,2,1
"A",1,2,13,51,0.254901960784314,23,44,0.522727272727273,11,36,0.305555555555556,21,45,0.466666666666667,14,59,0.23728813559322,1,1,3,2,2,1,3,2,2,1
"A",1,3,31,51,0.607843137254902,27,44,0.613636363636364,10,36,0.277777777777778,24,45,0.533333333333333,32,59,0.542372881355932,3,3,4,3,1,1,3,2,3,2
"A",1,4,18,51,0.352941176470588,16,44,0.363636363636364,10,36,0.277777777777778,16,45,0.355555555555556,24,59,0.406779661016949,2,1,2,1,1,1,2,1,2,2
"A",1,5,30,51,0.588235294117647,28,44,0.636363636363636,18,36,0.5,30,45,0.666666666666667,37,59,0.627118644067797,3,3,4,3,3,2,4,3,3,3
"A",1,6,45,51,0.882352941176471,35,44,0.795454545454545,28,36,0.777777777777778,38,45,0.844444444444444,50,59,0.847457627118644,5,5,5,4,4,4,5,4,5,4
"A",1,7,23,51,0.450980392156863,26,44,0.590909090909091,8,36,0.222222222222222,19,45,0.422222222222222,20,59,0.338983050847458,2,2,4,3,1,1,2,2,2,1
"A",1,8,35,51,0.686274509803922,31,44,0.704545454545455,25,36,0.694444444444444,30,45,0.666666666666667,46,59,0.779661016949153,4,3,4,4,4,3,4,3,5,4
"A",1,9,24,51,0.470588235294118,18,44,0.409090909090909,19,36,0.527777777777778,19,45,0.422222222222222,37,59,0.627118644067797,2,2,3,2,3,2,2,2,3,3
"A",1,10,30,51,0.588235294117647,31,44,0.704545454545455,22,36,0.611111111111111,22,45,0.488888888888889,42,59,0.711864406779661,3,3,4,4,4,3,3,2,4,4
"A",1,11,28,51,0.549019607843137,31,44,0.704545454545455,9,36,0.25,25,45,0.555555555555556,37,59,0.627118644067797,3,2,4,4,1,1,3,3,3,3
"A",1,12,26,51,0.509803921568627,27,44,0.613636363636364,15,36,0.416666666666667,26,45,0.577777777777778,34,59,0.576271186440678,2,2,4,3,3,2,3,3,3,3
"A",1,13,44,51,0.862745098039216,32,44,0.727272727272727,27,36,0.75,42,45,0.933333333333333,40,59,0.677966101694915,5,5,4,4,4,4,5,5,4,3
"A",1,14,30,51,0.588235294117647,25,44,0.568181818181818,16,36,0.444444444444444,27,45,0.6,37,59,0.627118644067797,3,3,3,3,3,2,3,3,3,3
"A",1,15,32,51,0.627450980392157,25,44,0.568181818181818,17,36,0.472222222222222,17,45,0.377777777777778,49,59,0.830508474576271,3,3,3,3,3,2,2,1,5,4
"A",1,16,34,51,0.666666666666667,26,44,0.590909090909091,18,36,0.5,15,45,0.333333333333333,39,59,0.661016949152542,4,3,4,3,3,2,2,1,4,3
"A",1,17,43,51,0.843137254901961,36,44,0.818181818181818,27,36,0.75,30,45,0.666666666666667,45,59,0.76271186440678,5,4,5,4,4,4,4,3,5,4
"A",1,18,39,51,0.764705882352941,26,44,0.590909090909091,28,36,0.777777777777778,27,45,0.6,48,59,0.813559322033898,5,4,4,3,4,4,3,3,5,4
"A",1,19,40,51,0.784313725490196,39,44,0.886363636363636,28,36,0.777777777777778,39,45,0.866666666666667,54,59,0.915254237288136,5,4,5,5,4,4,5,5,5,5
"A",1,20,34,51,0.666666666666667,34,44,0.772727272727273,17,36,0.472222222222222,14,45,0.311111111111111,39,59,0.661016949152542,4,3,4,4,3,2,1,1,4,3
"A",1,21,23,51,0.450980392156863,14,44,0.318181818181818,8,36,0.222222222222222,15,45,0.333333333333333,18,59,0.305084745762712,2,2,2,1,1,1,2,1,2,1
"A",1,22,35,51,0.686274509803922,37,44,0.840909090909091,28,36,0.777777777777778,36,45,0.8,49,59,0.830508474576271,4,3,5,4,4,4,4,4,5,4
"A",1,23,31,51,0.607843137254902,26,44,0.590909090909091,15,36,0.416666666666667,20,45,0.444444444444444,38,59,0.644067796610169,3,3,4,3,3,2,2,2,4,3
"A",1,24,34,51,0.666666666666667,37,44,0.840909090909091,17,36,0.472222222222222,33,45,0.733333333333333,35,59,0.593220338983051,4,3,5,4,3,2,4,4,3,3
"A",1,25,40,51,0.784313725490196,29,44,0.659090909090909,28,36,0.777777777777778,29,45,0.644444444444444,46,59,0.779661016949153,5,4,4,3,4,4,4,3,5,4
"A",1,26,34,51,0.666666666666667,26,44,0.590909090909091,23,36,0.638888888888889,29,45,0.644444444444444,37,59,0.627118644067797,4,3,4,3,4,3,4,3,3,3
"A",1,27,31,51,0.607843137254902,23,44,0.522727272727273,22,36,0.611111111111111,25,45,0.555555555555556,21,59,0.355932203389831,3,3,3,2,4,3,3,3,2,1
"A",1,28,41,51,0.803921568627451,36,44,0.818181818181818,26,36,0.722222222222222,34,45,0.755555555555556,47,59,0.796610169491525,5,4,5,4,4,4,4,4,5,4
"A",1,29,31,51,0.607843137254902,31,44,0.704545454545455,27,36,0.75,32,45,0.711111111111111,33,59,0.559322033898305,3,3,4,4,4,4,4,4,3,3
"A",1,30,37,51,0.725490196078431,30,44,0.681818181818182,18,36,0.5,31,45,0.688888888888889,40,59,0.677966101694915,4,4,4,3,3,2,4,3,4,3
"A",2,1,13,51,0.254901960784314,15,44,0.340909090909091,9,36,0.25,10,45,0.222222222222222,17,59,0.288135593220339,1,1,2,1,1,1,1,1,2,1
"A",2,2,20,51,0.392156862745098,19,44,0.431818181818182,12,36,0.333333333333333,16,45,0.355555555555556,17,59,0.288135593220339,2,1,3,2,2,1,2,1,2,1
"A",2,3,37,51,0.725490196078431,31,44,0.704545454545455,15,36,0.416666666666667,26,45,0.577777777777778,29,59,0.491525423728814,4,4,4,4,3,2,3,3,3,2
"A",2,4,45,51,0.882352941176471,25,44,0.568181818181818,27,36,0.75,29,45,0.644444444444444,42,59,0.711864406779661,5,5,3,3,4,4,4,3,4,4
"A",2,5,37,51,0.725490196078431,35,44,0.795454545454545,28,36,0.777777777777778,31,45,0.688888888888889,46,59,0.779661016949153,4,4,5,4,4,4,4,3,5,4
"A",2,6,34,51,0.666666666666667,21,44,0.477272727272727,10,36,0.277777777777778,21,45,0.466666666666667,28,59,0.474576271186441,4,3,3,2,1,1,3,2,2,2
"A",2,7,44,51,0.862745098039216,37,44,0.840909090909091,30,36,0.833333333333333,34,45,0.755555555555556,53,59,0.898305084745763,5,5,5,4,5,4,4,4,5,5
"A",2,8,39,51,0.764705882352941,29,44,0.659090909090909,22,36,0.611111111111111,25,45,0.555555555555556,36,59,0.610169491525424,5,4,4,3,4,3,3,3,3,3
"A",2,9,37,51,0.725490196078431,32,44,0.727272727272727,22,36,0.611111111111111,31,45,0.688888888888889,41,59,0.694915254237288,4,4,4,4,4,3,4,3,4,3
"A",2,10,28,51,0.549019607843137,19,44,0.431818181818182,16,36,0.444444444444444,24,45,0.533333333333333,30,59,0.508474576271186,3,2,3,2,3,2,3,2,3,2
"A",2,11,23,51,0.450980392156863,18,44,0.409090909090909,11,36,0.305555555555556,13,45,0.288888888888889,21,59,0.355932203389831,2,2,3,2,2,1,1,1,2,1
"A",2,12,33,51,0.647058823529412,40,44,0.909090909090909,21,36,0.583333333333333,31,45,0.688888888888889,41,59,0.694915254237288,4,3,5,5,3,3,4,3,4,3
"A",2,13,29,51,0.568627450980392,24,44,0.545454545454545,17,36,0.472222222222222,21,45,0.466666666666667,29,59,0.491525423728814,3,3,3,2,3,2,3,2,3,2
"A",2,14,23,51,0.450980392156863,22,44,0.5,10,36,0.277777777777778,23,45,0.511111111111111,22,59,0.372881355932203,2,2,3,2,1,1,3,2,2,1
"A",2,15,30,51,0.588235294117647,23,44,0.522727272727273,25,36,0.694444444444444,24,45,0.533333333333333,42,59,0.711864406779661,3,3,3,2,4,3,3,2,4,4
"A",2,16,42,51,0.823529411764706,39,44,0.886363636363636,33,36,0.916666666666667,37,45,0.822222222222222,53,59,0.898305084745763,5,4,5,5,5,5,5,4,5,5
"A",2,17,42,51,0.823529411764706,39,44,0.886363636363636,32,36,0.888888888888889,32,45,0.711111111111111,26,59,0.440677966101695,5,4,5,5,5,5,4,4,2,2
"A",2,18,32,51,0.627450980392157,27,44,0.613636363636364,21,36,0.583333333333333,18,45,0.4,40,59,0.677966101694915,3,3,4,3,3,3,2,1,4,3
"A",2,19,31,51,0.607843137254902,28,44,0.636363636363636,13,36,0.361111111111111,18,45,0.4,26,59,0.440677966101695,3,3,4,3,2,1,2,1,2,2
"A",2,20,26,51,0.509803921568627,34,44,0.772727272727273,23,36,0.638888888888889,30,45,0.666666666666667,42,59,0.711864406779661,2,2,4,4,4,3,4,3,4,4
"A",2,21,35,51,0.686274509803922,28,44,0.636363636363636,20,36,0.555555555555556,32,45,0.711111111111111,39,59,0.661016949152542,4,3,4,3,3,3,4,4,4,3
"A",2,22,37,51,0.725490196078431,33,44,0.75,28,36,0.777777777777778,34,45,0.755555555555556,36,59,0.610169491525424,4,4,4,4,4,4,4,4,3,3
"A",2,23,33,51,0.647058823529412,28,44,0.636363636363636,19,36,0.527777777777778,28,45,0.622222222222222,37,59,0.627118644067797,4,3,4,3,3,2,4,3,3,3
"A",2,24,13,51,0.254901960784314,10,44,0.227272727272727,11,36,0.305555555555556,14,45,0.311111111111111,15,59,0.254237288135593,1,1,2,1,2,1,1,1,2,1
"A",2,25,17,51,0.333333333333333,15,44,0.340909090909091,10,36,0.277777777777778,12,45,0.266666666666667,23,59,0.389830508474576,1,1,2,1,1,1,1,1,2,1
"A",2,26,46,51,0.901960784313726,37,44,0.840909090909091,36,36,1,42,45,0.933333333333333,52,59,0.88135593220339,5,5,5,4,5,5,5,5,5,5
"A",2,27,29,51,0.568627450980392,22,44,0.5,11,36,0.305555555555556,26,45,0.577777777777778,25,59,0.423728813559322,3,3,3,2,2,1,3,3,2,2
"A",2,28,39,51,0.764705882352941,24,44,0.545454545454545,18,36,0.5,29,45,0.644444444444444,47,59,0.796610169491525,5,4,3,2,3,2,4,3,5,4
"A",2,29,31,51,0.607843137254902,33,44,0.75,11,36,0.305555555555556,23,45,0.511111111111111,37,59,0.627118644067797,3,3,4,4,2,1,3,2,3,3
"A",2,30,26,51,0.509803921568627,13,44,0.295454545454545,16,36,0.444444444444444,9,45,0.2,17,59,0.288135593220339,2,2,2,1,3,2,1,1,2,1
"B",1,1,28,51,0.549019607843137,27,44,0.613636363636364,14,36,0.388888888888889,21,45,0.466666666666667,36,59,0.610169491525424,3,2,4,3,3,1,3,2,3,3
"B",1,2,21,51,0.411764705882353,33,44,0.75,13,36,0.361111111111111,19,45,0.422222222222222,19,59,0.322033898305085,2,2,4,4,2,1,2,2,2,1
"B",1,3,39,51,0.764705882352941,32,44,0.727272727272727,24,36,0.666666666666667,31,45,0.688888888888889,31,59,0.525423728813559,5,4,4,4,4,3,4,3,3,2
"B",1,4,34,51,0.666666666666667,36,44,0.818181818181818,22,36,0.611111111111111,37,45,0.822222222222222,43,59,0.728813559322034,4,3,5,4,4,3,5,4,4,4
"B",1,5,43,51,0.843137254901961,42,44,0.954545454545455,32,36,0.888888888888889,34,45,0.755555555555556,55,59,0.932203389830508,5,4,5,5,5,5,4,4,5,5
"B",1,6,40,51,0.784313725490196,41,44,0.931818181818182,31,36,0.861111111111111,41,45,0.911111111111111,39,59,0.661016949152542,5,4,5,5,5,5,5,5,4,3
"B",1,7,19,51,0.372549019607843,12,44,0.272727272727273,16,36,0.444444444444444,13,45,0.288888888888889,26,59,0.440677966101695,2,1,2,1,3,2,1,1,2,2
"B",1,8,32,51,0.627450980392157,36,44,0.818181818181818,32,36,0.888888888888889,39,45,0.866666666666667,18,59,0.305084745762712,3,3,5,4,5,5,5,5,2,1
"B",1,9,44,51,0.862745098039216,36,44,0.818181818181818,29,36,0.805555555555556,32,45,0.711111111111111,45,59,0.76271186440678,5,5,5,4,4,4,4,4,5,4
"B",1,10,32,51,0.627450980392157,21,44,0.477272727272727,17,36,0.472222222222222,24,45,0.533333333333333,40,59,0.677966101694915,3,3,3,2,3,2,3,2,4,3
"B",1,11,41,51,0.803921568627451,33,44,0.75,29,36,0.805555555555556,31,45,0.688888888888889,16,59,0.271186440677966,5,4,4,4,4,4,4,3,2,1
"B",1,12,21,51,0.411764705882353,24,44,0.545454545454545,23,36,0.638888888888889,19,45,0.422222222222222,53,59,0.898305084745763,2,2,3,2,4,3,2,2,5,5
"B",1,13,38,51,0.745098039215686,25,44,0.568181818181818,26,36,0.722222222222222,27,45,0.6,39,59,0.661016949152542,4,4,3,3,4,4,3,3,4,3
"B",1,14,28,51,0.549019607843137,28,44,0.636363636363636,13,36,0.361111111111111,19,45,0.422222222222222,16,59,0.271186440677966,3,2,4,3,2,1,2,2,2,1
"B",1,15,33,51,0.647058823529412,32,44,0.727272727272727,16,36,0.444444444444444,25,45,0.555555555555556,25,59,0.423728813559322,4,3,4,4,3,2,3,3,2,2
"B",1,16,30,51,0.588235294117647,31,44,0.704545454545455,15,36,0.416666666666667,20,45,0.444444444444444,25,59,0.423728813559322,3,3,4,4,3,2,2,2,2,2
"B",1,17,8,51,0.156862745098039,21,44,0.477272727272727,13,36,0.361111111111111,13,45,0.288888888888889,28,59,0.474576271186441,1,1,3,2,2,1,1,1,2,2
"B",1,18,14,51,0.274509803921569,18,44,0.409090909090909,9,36,0.25,17,45,0.377777777777778,16,59,0.271186440677966,1,1,3,2,1,1,2,1,2,1
"B",1,19,35,51,0.686274509803922,30,44,0.681818181818182,24,36,0.666666666666667,24,45,0.533333333333333,43,59,0.728813559322034,4,3,4,3,4,3,3,2,4,4
"B",1,20,33,51,0.647058823529412,32,44,0.727272727272727,18,36,0.5,23,45,0.511111111111111,28,59,0.474576271186441,4,3,4,4,3,2,3,2,2,2
"B",1,21,38,51,0.745098039215686,30,44,0.681818181818182,16,36,0.444444444444444,22,45,0.488888888888889,14,59,0.23728813559322,4,4,4,3,3,2,3,2,2,1
"B",1,22,45,51,0.882352941176471,29,44,0.659090909090909,18,36,0.5,30,45,0.666666666666667,45,59,0.76271186440678,5,5,4,3,3,2,4,3,5,4
"B",1,23,41,51,0.803921568627451,28,44,0.636363636363636,24,36,0.666666666666667,29,45,0.644444444444444,44,59,0.745762711864407,5,4,4,3,4,3,4,3,5,4
"B",1,24,23,51,0.450980392156863,30,44,0.681818181818182,20,36,0.555555555555556,17,45,0.377777777777778,58,59,0.983050847457627,2,2,4,3,3,3,2,1,5,5
"B",1,25,31,51,0.607843137254902,30,44,0.681818181818182,23,36,0.638888888888889,23,45,0.511111111111111,14,59,0.23728813559322,3,3,4,3,4,3,3,2,2,1
"B",1,26,13,51,0.254901960784314,11,44,0.25,9,36,0.25,16,45,0.355555555555556,32,59,0.542372881355932,1,1,2,1,1,1,2,1,3,2
"B",1,27,32,51,0.627450980392157,21,44,0.477272727272727,17,36,0.472222222222222,23,45,0.511111111111111,41,59,0.694915254237288,3,3,3,2,3,2,3,2,4,3
"B",1,28,40,51,0.784313725490196,42,44,0.954545454545455,32,36,0.888888888888889,38,45,0.844444444444444,41,59,0.694915254237288,5,4,5,5,5,5,5,4,4,3
"B",1,29,33,51,0.647058823529412,26,44,0.590909090909091,10,36,0.277777777777778,11,45,0.244444444444444,10,59,0.169491525423729,4,3,4,3,1,1,1,1,2,1
"B",1,30,48,51,0.941176470588235,37,44,0.840909090909091,33,36,0.916666666666667,38,45,0.844444444444444,57,59,0.966101694915254,5,5,5,4,5,5,5,4,5,5
"B",2,1,33,51,0.647058823529412,24,44,0.545454545454545,20,36,0.555555555555556,24,45,0.533333333333333,35,59,0.593220338983051,4,3,3,2,3,3,3,2,3,3
"B",2,2,37,51,0.725490196078431,18,44,0.409090909090909,7,36,0.194444444444444,22,45,0.488888888888889,30,59,0.508474576271186,4,4,3,2,1,1,3,2,3,2
"B",2,3,47,51,0.92156862745098,41,44,0.931818181818182,34,36,0.944444444444444,41,45,0.911111111111111,57,59,0.966101694915254,5,5,5,5,5,5,5,5,5,5
"B",2,4,42,51,0.823529411764706,40,44,0.909090909090909,30,36,0.833333333333333,41,45,0.911111111111111,46,59,0.779661016949153,5,4,5,5,5,4,5,5,5,4
"B",2,5,34,51,0.666666666666667,24,44,0.545454545454545,25,36,0.694444444444444,31,45,0.688888888888889,42,59,0.711864406779661,4,3,3,2,4,3,4,3,4,4
"B",2,6,25,51,0.490196078431373,17,44,0.386363636363636,12,36,0.333333333333333,19,45,0.422222222222222,34,59,0.576271186440678,2,2,3,1,2,1,2,2,3,3
"B",2,7,30,51,0.588235294117647,34,44,0.772727272727273,8,36,0.222222222222222,17,45,0.377777777777778,23,59,0.389830508474576,3,3,4,4,1,1,2,1,2,1
"B",2,8,29,51,0.568627450980392,22,44,0.5,14,36,0.388888888888889,28,45,0.622222222222222,23,59,0.389830508474576,3,3,3,2,3,1,4,3,2,1
"B",2,9,39,51,0.764705882352941,27,44,0.613636363636364,17,36,0.472222222222222,30,45,0.666666666666667,46,59,0.779661016949153,5,4,4,3,3,2,4,3,5,4
"B",2,10,27,51,0.529411764705882,20,44,0.454545454545455,19,36,0.527777777777778,14,45,0.311111111111111,35,59,0.593220338983051,2,2,3,2,3,2,1,1,3,3
"B",2,11,27,51,0.529411764705882,22,44,0.5,12,36,0.333333333333333,10,45,0.222222222222222,28,59,0.474576271186441,2,2,3,2,2,1,1,1,2,2
"B",2,12,38,51,0.745098039215686,32,44,0.727272727272727,19,36,0.527777777777778,22,45,0.488888888888889,47,59,0.796610169491525,4,4,4,4,3,2,3,2,5,4
"B",2,13,43,51,0.843137254901961,30,44,0.681818181818182,28,36,0.777777777777778,34,45,0.755555555555556,47,59,0.796610169491525,5,4,4,3,4,4,4,4,5,4
"B",2,14,33,51,0.647058823529412,23,44,0.522727272727273,15,36,0.416666666666667,26,45,0.577777777777778,38,59,0.644067796610169,4,3,3,2,3,2,3,3,4,3
