question_id,subject,全国値
国態1,kokugo,78
国態2,kokugo,70
国態3,kokugo,83
国態4,kokugo,78
国態5,kokugo,78
国態6,kokugo,65
国態7,kokugo,73
国態8,kokugo,83
国態9,kokugo,80
国態10,kokugo,78
国態11,kokugo,78
国態12,kokugo,78
社態1,shakai,83
社態2,shakai,73
社態3,shakai,85
社態4,shakai,75
社態5,shakai,83
社態6,shakai,70
社態7,shakai,73
社態8,shakai,88
社態9,shakai,78
社態10,shakai,75
社態11,shakai,80
社態12,shakai,75
数態1,sugaku,76
数態2,sugaku,71
数態3,sugaku,83
数態4,sugaku,74
数態5,sugaku,76
数態6,sugaku,69
数態7,sugaku,71
数態8,sugaku,85
数態9,sugaku,76
数態10,sugaku,76
数態11,sugaku,79
数態12,sugaku,74
B理態1,rika,83
B理態2,rika,71
B理態3,rika,84
B理態4,rika,78
B理態5,rika,83
B理態6,rika,69
B理態7,rika,74
B理態8,rika,86
B理態9,rika,87
B理態10,rika,79
B理態11,rika,79
B理態12,rika,76
英態1,eigo,80
英態2,eigo,73
英態3,eigo,83
英態4,eigo,75
英態5,eigo,78
英態6,eigo,70
英態7,eigo,75
英態8,eigo,85
英態9,eigo,80
英態10,eigo,78
英態11,eigo,80
英態12,eigo,78
