question_id,subject,大領域,中領域,観点,知識理解,資質能力,全国値,困難度,解答形式
国1,kokugo,1,4,1,2,1,86,-2.365,1
国2,kokugo,1,4,1,2,1,51,-0.097,1
国3,kokugo,1,2,2,,,73,-1.383,1
国4,kokugo,1,2,2,,5,61,-1.032,1
国5,kokugo,1,2,2,,5,58,-1.188,1
国6,kokugo,1,3,2,,3,66,-1.187,1
国6,kokugo,1,3,2,,5,66,-1.187,1
国7,kokugo,1,3,2,,3,52,-0.2,1
国7,kokugo,1,3,2,,5,52,-0.2,1
国8,kokugo,3,9,2,,,76,-1.733,1
国9,kokugo,3,9,2,,,74,-1.69,1
国10,kokugo,3,12,1,2,1,54,-0.254,1
国11,kokugo,3,10,2,,,32,1.58,1
国12,kokugo,3,10,2,,,67,-1.157,1
国13,kokugo,3,10,2,,,49,0.157,1
国14,kokugo,3,11,2,,5,58,-0.627,1
国15,kokugo,3,11,2,,5,63,-1.263,1
国16,kokugo,2,6,2,,4,62,-0.733,1
国17,kokugo,2,8,1,2,2,60,-0.584,2
国17,kokugo,2,8,1,2,4,60,-0.584,2
国18,kokugo,2,7,2,,2,19,2.342,3
国18,kokugo,2,7,2,,4,19,2.342,3
国19,kokugo,2,5,2,,3,68,-1.002,1
国19,kokugo,2,5,2,,4,68,-1.002,1
国20,kokugo,1,1,2,,,89,-2.016,1
国21,kokugo,1,2,2,,,76,-1.618,1
国22,kokugo,1,1,2,,,79,-1.569,1
国23,kokugo,3,12,1,2,,66,-1.206,1
国24,kokugo,3,12,1,2,,74,-1.375,1
国25,kokugo,2,7,2,,2,63,-0.601,2
国25,kokugo,2,7,2,,4,63,-0.601,2
国26,kokugo,2,7,2,,2,57,-0.292,2
国26,kokugo,2,7,2,,4,57,-0.292,2
国27,kokugo,2,7,2,,2,71,-0.834,2
国27,kokugo,2,7,2,,4,71,-0.834,2
国32,kokugo,1,3,2,,,88,-1.56,1
国33,kokugo,1,3,2,,,67,-0.779,1
国34,kokugo,1,4,1,2,,84,-1.45,1
国35,kokugo,1,1,2,,3,58,-0.455,1
